,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
Shutter Island,8.2,8.6,8.5,8.1,7.6,8.1,8.7,8.5,8.1,7.5,8.2,8.4,8.5,8.2,7.7,7.6,7.9,8.1
Jurassic Park,8.2,8.3,8.1,8.2,7.9,8.2,8.4,8.1,8.3,7.9,8.1,7.7,8.0,8.1,8.0,8.1,8.4,8.0
Rashomon,8.2,7.9,8.2,8.2,8.2,8.2,8.0,8.2,8.2,8.2,8.1,6.9,8.0,8.0,8.3,7.8,8.3,8.1
The Great Escape,8.2,8.5,8.2,8.1,8.2,8.2,8.6,8.2,8.2,8.2,8.2,7.1,8.1,8.1,8.3,8.1,8.4,8.1
Kill Bill: Vol. 1,8.2,8.4,8.2,8.2,8.0,8.1,8.5,8.2,8.2,8.0,8.2,8.1,8.3,8.2,7.9,8.0,8.2,8.1
No Country for Old Men,8.2,8.4,8.3,8.1,8.0,8.2,8.5,8.4,8.2,8.0,7.7,8.0,7.9,7.7,7.8,7.9,8.4,8.0
Finding Nemo,8.2,8.0,8.3,8.1,8.1,8.1,8.1,8.3,8.0,8.0,8.4,7.9,8.4,8.3,8.4,7.9,8.3,8.1
The Elephant Man,8.2,8.4,8.3,8.2,8.1,8.2,8.8,8.3,8.2,8.1,8.2,7.5,8.3,8.2,8.3,8.0,8.2,8.2
Chinatown,8.2,8.7,8.2,8.1,8.2,8.2,8.8,8.3,8.1,8.2,7.9,8.2,7.9,7.8,8.1,8.1,8.4,8.1
Raging Bull,8.2,8.4,8.3,8.1,8.1,8.2,8.4,8.3,8.2,8.1,7.7,7.9,7.8,7.7,7.7,7.9,8.3,8.1
Gone with the Wind,8.2,7.7,8.3,8.1,8.2,8.1,8.1,8.2,8.0,8.1,8.5,6.9,8.5,8.5,8.7,8.0,8.3,8.1
The Thing,8.2,8.5,8.2,8.1,8.2,8.2,8.6,8.2,8.1,8.2,7.8,7.8,7.8,7.7,7.9,7.9,8.4,8.0
V for Vendetta,8.2,8.2,8.3,8.2,7.7,8.2,8.1,8.3,8.2,7.7,8.2,8.3,8.4,8.2,7.7,7.7,8.1,8.1
Inside Out,8.2,7.9,8.3,8.2,7.9,8.2,7.9,8.3,8.1,7.9,8.2,8.0,8.3,8.2,8.0,7.7,8.2,8.1
"Lock, Stock and Two Smoking Barrels",8.2,8.3,8.2,8.2,7.9,8.2,8.3,8.2,8.2,7.9,8.1,7.5,8.2,8.1,7.8,7.3,8.0,8.2
Dial M for Murder,8.2,8.3,8.3,8.2,8.0,8.2,8.4,8.3,8.2,8.0,8.2,6.3,8.3,8.1,8.2,7.9,8.1,8.2
The Secret in Their Eyes,8.2,7.7,8.2,8.2,8.1,8.2,8.4,8.2,8.2,8.1,8.2,6.3,8.2,8.2,8.3,7.4,8.1,8.2
Everything Everywhere All at Once,8.2,9.0,8.5,8.1,7.5,8.1,9.0,8.5,8.0,7.4,8.3,7.7,8.6,8.3,7.7,7.3,8.5,7.9
Howl's Moving Castle,8.2,8.1,8.3,8.1,7.9,8.0,8.1,8.1,8.0,7.8,8.6,8.1,8.7,8.6,8.3,7.5,8.1,8.1
