,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
Untouchable,"840,284",299,"150,962","326,657","65,131","450,198",215,"106,832","249,897","51,907","132,322",57,"38,589","70,035","11,482",634,"41,082","360,334"
Harakiri,"55,225",71,"7,618","21,820","8,236","35,198",48,"6,755","19,743","6,770","4,083",20,708,"1,854","1,343",409,"8,823","24,339"
Modern Times,"239,354",155,"35,835","93,449","34,012","144,952",120,"28,956","78,646","28,612","26,055",29,"6,091","13,616","4,770",645,"31,849","104,721"
Grave of the Fireflies,"270,787",204,"45,569","106,738","21,739","145,575",142,"33,311","84,676","17,560","38,189",46,"10,983","20,598","3,775",546,"32,996","110,326"
Once Upon a Time in the West,"325,618",116,"33,647","138,246","59,475","220,182",93,"29,794","126,031","53,143","20,277",20,"3,225","10,776","5,368",750,"48,955","151,502"
Top Gun: Maverick,"250,147",343,"27,375","63,137","25,511","108,424",253,"21,679","52,486","20,483","19,108",47,"3,772","8,674","4,154",202,"29,481","62,825"
Rear Window,"484,556",188,"56,899","194,148","82,756","282,049",136,"43,671","157,194","66,417","65,090",44,"11,945","34,614","14,935",793,"95,626","194,701"
Alien,"862,977",343,"91,807","349,001","140,036","532,915",259,"76,149","301,518","119,900","78,985",66,"13,380","42,815","17,657",894,"142,401","346,917"
City Lights,"182,899",119,"26,462","72,448","28,108","112,407",92,"21,743","61,331","23,210","19,932",21,"4,244","10,325","4,423",628,"29,796","78,462"
Cinema Paradiso,"257,084",111,"30,859","103,033","43,423","148,315",88,"23,008","81,679","35,183","36,738",16,"7,059","19,963","7,470",600,"33,222","116,519"
Memento,"1,217,157",431,"165,857","534,117","131,047","731,625",328,"131,602","444,027","108,975","141,391",72,"29,875","82,977","19,500",843,"181,879","503,548"
Apocalypse Now,"657,018",194,"65,949","274,108","113,248","425,916",152,"57,525","245,505","99,034","46,541",33,"6,845","25,147","12,186",826,"116,940","273,317"
Raiders of the Lost Ark,"951,202",402,"100,833","381,588","160,407","581,853",308,"84,187","326,816","133,912","93,033",65,"14,122","49,710","23,541",909,"188,270","356,934"
Django Unchained,"1,514,085",635,"246,178","572,796","127,342","859,014",481,"195,786","468,782","105,896","171,910",97,"42,330","93,967","18,675",836,"158,950","546,000"
WALL·E,"1,095,418",743,"170,985","464,422","97,930","620,623",543,"126,037","369,186","80,753","156,788",142,"40,243","89,379","15,418",827,"153,851","437,074"
The Lives of Others,"385,709",94,"44,619","186,528","52,590","243,055",67,"35,026","152,378","43,457","51,466",21,"8,713","31,931","8,229",607,"41,272","199,566"
Sunset Blvd.,"219,378",100,"24,482","89,191","41,231","130,169",71,"19,160","72,442","32,945","29,617",25,"4,879","15,795","7,622",675,"49,544","88,385"
Paths of Glory,"195,051",133,"24,425","78,721","33,254","128,618",102,"21,665","71,513","29,537","12,326",26,"2,312","6,363","3,196",668,"35,207","85,495"
The Shining,"996,740",540,"140,603","393,925","118,630","557,338",372,"103,963","317,200","97,442","131,237",110,"31,918","70,898","18,946",887,"154,621","384,745"
The Great Dictator,"221,737",115,"30,158","91,577","33,937","139,756",87,"24,903","78,384","28,775","22,648",24,"4,731","12,177","4,582",669,"28,520","103,232"
Witness for the Prosecution,"123,464",55,"14,174","46,567","24,050","73,953",39,"11,664","39,263","19,453","14,033",15,"2,260","6,851","4,227",619,"21,867","52,826"
Avengers: Infinity War,"1,038,924","1,325","181,103","275,941","68,356","503,964",975,"141,971","229,301","56,492","89,012",203,"27,972","38,470","9,748",748,"101,492","293,081"
Aliens,"705,604",238,"63,856","299,772","125,102","454,203",177,"54,779","264,085","107,984","58,373",49,"7,824","32,031","15,095",859,"125,835","290,815"
American Beauty,"1,139,080",280,"137,592","510,883","146,236","654,498",187,"97,765","399,488","118,397","176,740",65,"36,169","104,557","25,213",847,"189,701","474,688"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"484,450",184,"51,688","205,407","82,408","309,668",144,"43,770","179,700","71,884","41,285",30,"6,865","23,444","9,141",773,"103,890","196,510"
Spider-Man: Into the Spider-Verse,"504,562",937,"89,216","134,369","31,549","242,398",699,"70,329","114,611","26,797","37,317",140,"12,786","15,917","3,727",636,"53,239","143,381"
The Dark Knight Rises,"1,670,427",787,"286,072","663,323","123,982","994,395",621,"233,983","559,418","105,358","169,129",81,"44,433","93,324","15,990",869,"193,845","589,148"
Oldboy,"567,755",177,"79,207","266,518","50,909","360,915",142,"65,233","229,780","44,145","54,800",22,"12,023","33,499","5,913",669,"68,176","261,497"
Joker,"1,220,141","1,317","193,972","332,588","84,492","555,651",914,"143,870","268,704","68,986","112,575",210,"34,237","51,714","12,309",734,"98,462","348,620"
Amadeus,"396,471",104,"44,111","158,132","75,441","230,174",78,"32,849","124,519","60,535","58,759",18,"10,285","31,647","13,625",715,"74,914","162,755"
Braveheart,"1,024,247",219,"103,462","464,000","137,629","633,830",156,"85,919","391,113","114,272","110,444",43,"15,353","66,843","21,006",840,"163,415","415,046"
Toy Story,"975,507",779,"156,956","381,335","93,785","533,027",559,"116,193","301,196","75,507","138,337",167,"36,241","74,884","16,630",842,"156,112","357,588"
Coco,"487,850",726,"85,290","145,977","31,960","221,616",479,"58,325","111,487","25,409","69,009",185,"22,872","31,216","5,715",607,"48,930","155,545"
Das Boot,"248,668",59,"18,431","98,944","59,279","167,159",46,"16,202","90,062","52,969","15,885",12,"1,926","7,898","5,412",655,"38,828","116,925"
Inglourious Basterds,"1,411,740",587,"211,078","584,188","128,559","822,755",430,"166,039","481,452","108,842","160,355",97,"37,742","93,640","17,113",864,"175,031","557,624"
Princess Mononoke,"386,852",207,"58,039","163,895","34,068","211,935",134,"41,159","129,151","27,963","57,169",53,"15,275","32,438","5,459",608,"55,755","157,224"
Avengers: Endgame,"1,081,031","1,864","173,232","270,499","73,448","480,758","1,270","130,450","221,129","59,587","87,227",358,"25,930","38,429","10,800",723,"99,219","276,312"
